,Blockno,UnixTimestamp,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Date,Time(UTC),VALUE_IN(USD),VALUE_OUT(USD)
0,19557289,1970-01-20 19:32:09.611,0.0,0,0.0,0.0029151199998878,8.98843595436094,3505.52,2024-04-01,00:00:11,0.0,0.0
1,19557290,1970-01-20 19:32:09.623,0.0,0,0.0,0.0042864306335998,13.2167139686891,3505.52,2024-04-01,00:00:23,0.0,0.0
2,19557290,1970-01-20 19:32:09.623,0.0,0,0.0,0.0008173366097058,2.52016307039782,3505.52,2024-04-01,00:00:23,0.0,0.0
3,19557291,1970-01-20 19:32:09.635,0.0,0,0.0,0.0026826953040339,8.27178123929767,3505.52,2024-04-01,00:00:35,0.0,0.0
4,19557291,1970-01-20 19:32:09.635,0.0,0,0.0,0.0034214111688283,10.5495263199221,3505.52,2024-04-01,00:00:35,0.0,0.0
5,19557294,1970-01-20 19:32:09.671,0.0,0,0.0,0.005118615403265,15.7826596260266,3505.52,2024-04-01,00:01:11,0.0,0.0
6,19557294,1970-01-20 19:32:09.671,0.0,0,0.0,0.000987119554866,3.04366917950276,3505.52,2024-04-01,00:01:11,0.0,0.0
7,19557294,1970-01-20 19:32:09.671,0.0,0,0.0,0.0036306488057184,11.1946864157333,3505.52,2024-04-01,00:01:11,0.0,0.0
8,19557296,1970-01-20 19:32:09.695,0.5,0,1541.69227248049,0.0033919954126342,10.4588262318951,3505.52,2024-04-01,00:01:35,1752.76,0.0
9,19557298,1970-01-20 19:32:09.719,0.0,0,0.0,0.002688648593837,8.29013752106824,3505.52,2024-04-01,00:01:59,0.0,0.0
10,19557299,1970-01-20 19:32:09.731,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52,2024-04-01,00:02:11,0.0,0.0
11,19557299,1970-01-20 19:32:09.731,0.0,0,0.0,0.0033030494400211,10.1845715946031,3505.52,2024-04-01,00:02:11,0.0,0.0
12,19557301,1970-01-20 19:32:09.755,0.0,0,0.0,0.0006360108396713,1.96106599347027,3505.52,2024-04-01,00:02:35,0.0,0.0
